OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_1008.owl;35831165;32145027
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_1294.owl;36546822;35116763
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_1580.owl;37488942;38485702
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_1866.owl;36023563;41485698
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_2152.owl;37021983;42372970
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_2438.owl;37028842;44684735
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_2724.owl;36971958;44600020
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_436.owl;35737430;24365244
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl_1_286_722.owl;36718636;28146745
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl;44714545;33540287
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_1019.owl;37477854;29483281
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_131.owl;31512628;15852008
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_20.owl;29231800;9248466
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_242.owl;34375372;20043514
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_353.owl;35903112;21442740
file:////home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_464.owl;34983568;22690617
